"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SRTRANSFIN","EQ","24-Oct-2018","       1005.30","       1020.00","       1064.00","       1008.40","       1058.00","       1053.00","       1029.01","    1699053","          1748343947.35","      59020","     752113","         44.27"
"SRTRANSFIN","EQ","25-Oct-2018","       1053.00","       1033.00","       1094.25","       1023.65","       1085.00","       1084.65","       1068.47","    1522381","          1626618003.60","      47986","     416170","         27.34"
"SRTRANSFIN","EQ","26-Oct-2018","       1084.65","       1100.65","       1113.90","       1041.00","       1065.05","       1071.75","       1072.67","    1689672","          1812462028.95","      62456","     365386","         21.62"
"SRTRANSFIN","EQ","29-Oct-2018","       1071.75","       1059.75","       1095.50","       1029.50","       1092.00","       1083.90","       1059.81","    1779232","          1885656549.00","      64569","     547765","         30.79"
"SRTRANSFIN","EQ","30-Oct-2018","       1083.90","       1070.00","       1134.85","       1068.00","       1122.50","       1119.75","       1114.45","    1657603","          1847315856.45","      73371","     463878","         27.98"
"SRTRANSFIN","EQ","31-Oct-2018","       1119.75","       1127.65","       1170.00","       1072.00","       1152.00","       1164.80","       1122.09","    2057363","          2308551479.25","      72139","     571703","         27.79"
"SRTRANSFIN","EQ","01-Nov-2018","       1164.80","       1168.00","       1220.00","       1163.15","       1215.90","       1213.35","       1205.63","    1690900","          2038603115.65","      57115","     552285","         32.66"
"SRTRANSFIN","EQ","02-Nov-2018","       1213.35","       1214.10","       1265.05","       1214.10","       1252.00","       1254.00","       1248.55","    1359503","          1697407854.95","      42603","     490098","         36.05"
"SRTRANSFIN","EQ","05-Nov-2018","       1254.00","       1240.05","       1253.55","       1205.60","       1251.40","       1245.75","       1236.14","     684397","           846010721.00","      27010","      69717","         10.19"
"SRTRANSFIN","EQ","06-Nov-2018","       1245.75","       1240.00","       1255.30","       1205.00","       1208.00","       1213.35","       1219.97","     761424","           928914195.55","      31250","     219351","         28.81"
"SRTRANSFIN","EQ","07-Nov-2018","       1213.35","       1220.00","       1234.95","       1209.90","       1221.00","       1223.30","       1223.90","     118980","           145620039.45","       3381","      10453","          8.79"
"SRTRANSFIN","EQ","09-Nov-2018","       1223.30","       1221.00","       1244.90","       1208.65","       1230.00","       1229.85","       1226.66","     842946","          1034008257.15","      54922","     367593","         43.61"
"SRTRANSFIN","EQ","12-Nov-2018","       1229.85","       1230.00","       1251.75","       1212.55","       1218.00","       1216.70","       1225.99","     893836","          1095834841.50","      30870","     367240","         41.09"
"SRTRANSFIN","EQ","13-Nov-2018","       1216.70","       1210.00","       1230.10","       1170.00","       1229.00","       1216.50","       1194.32","    1089517","          1301236190.85","      40389","     277933","         25.51"
"SRTRANSFIN","EQ","14-Nov-2018","       1216.50","       1232.10","       1271.90","       1228.00","       1239.00","       1239.35","       1245.89","    1246982","          1553604905.80","      40893","     259375","         20.80"
"SRTRANSFIN","EQ","15-Nov-2018","       1239.35","       1240.00","       1265.05","       1211.00","       1261.95","       1260.50","       1239.07","     831437","          1030208107.50","      26429","     131415","         15.81"
"SRTRANSFIN","EQ","16-Nov-2018","       1260.50","       1267.50","       1275.00","       1218.00","       1236.25","       1235.20","       1239.93","    1126590","          1396895744.80","      47430","     381934","         33.90"
"SRTRANSFIN","EQ","19-Nov-2018","       1235.20","       1250.00","       1250.00","       1210.00","       1221.45","       1220.40","       1222.64","     749722","           916639002.45","      28735","     311281","         41.52"
"SRTRANSFIN","EQ","20-Nov-2018","       1220.40","       1229.50","       1229.50","       1182.00","       1184.00","       1192.60","       1200.79","     851877","          1022925535.35","      34578","     123570","         14.51"
"SRTRANSFIN","EQ","21-Nov-2018","       1192.60","       1185.00","       1209.00","       1164.50","       1187.00","       1185.55","       1187.67","    1068472","          1268988431.10","      34339","     196922","         18.43"
"SRTRANSFIN","EQ","22-Nov-2018","       1185.55","       1192.00","       1202.45","       1142.65","       1144.00","       1155.45","       1176.78","     726128","           854490003.85","      38076","     164821","         22.70"
"SRTRANSFIN","EQ","26-Nov-2018","       1155.45","       1155.00","       1177.85","       1083.00","       1107.00","       1109.45","       1111.80","    1998687","          2222140401.20","      81117","     583792","         29.21"
"SRTRANSFIN","EQ","27-Nov-2018","       1109.45","       1099.00","       1116.05","       1080.30","       1097.00","       1100.40","       1095.37","    1314979","          1440393531.70","      37878","     325247","         24.73"
"SRTRANSFIN","EQ","28-Nov-2018","       1100.40","       1102.85","       1139.70","       1090.00","       1138.00","       1133.20","       1118.61","    1190442","          1331642691.30","      38616","     257626","         21.64"
"SRTRANSFIN","EQ","29-Nov-2018","       1133.20","       1135.00","       1185.90","       1135.00","       1177.00","       1177.95","       1163.75","    1637214","          1905303030.10","      64376","     575060","         35.12"
"SRTRANSFIN","EQ","30-Nov-2018","       1177.95","       1186.20","       1193.55","       1147.90","       1152.00","       1155.50","       1159.40","    1246110","          1444736654.75","      60578","     392838","         31.53"
